I'll be back
I have a bad feeling about this
"Hasta la vista, baby"
"Frankly, my dear, I don't give a damn"
"Go ahead, make my day"
You talkin' to me?
"Yippee ki yay, motherfucker"
You look mahvelous
You eediot!
Wubba Lubba Dub-Dub
That's hot
Ruh-roh
Kiss my grits!
Is that your final answer?
I know nothing!
Eat my shorts
Don't make me angry.
Did I do that?
Bazinga!
Keep it greasy
I'll buy that for a dollar!
"Less talking, more kissing"
Oopsie-poopsie!
Go fuck yourself
Ay Carumba!
